 AMARANTH ,1980,  110 m X 16 m ,  5858 t ,  SPS2690 ,7816484,261477000
 AMAZONE ,1997,  76 m X 14 m ,  3000 t ,  PDAB ,9158630,245718000
 AMBER ,1993,  122 m X 19 m ,  5387 t ,  LAQJ4 ,8917871,258660000
 AMBER ,2003,  85 m X 18 m ,  4830 t ,  WDB5838 ,9288655,369336000
 AMBER SUN ,1985,  215 m X 32 m ,  61342 t ,  3FBT3 ,8414348,371831000
 AMBUJA LAKSHMI ,2002,  97 m X 17 m ,  4000 t ,  AUPX ,9241372,419067900
 AMERICANA ,1979,  224 m X 32 m ,  61451 t ,  H9RC ,7621932,355940000
 AMIN A ,1970,  116 m X 17 m ,  7405 t ,  3ENZ6 ,6930362,355010000
 AMIR AHMAD ,1976,  103 m X 16 m ,  5789 t ,  4 L Z K ,7366013,213581000
 AMIRANTE ,1977,  82 m X 13 m ,  4083 t ,  J8B3712 ,7525334,376562000
 AMKE ,2007,  116 m X 17 m ,  6500 t ,  ZDHP8 ,9374387,236344000
 AMNA S ,1985,  0 m X 0 m ,  25525 t ,  P3MX9 ,8418227,210171000
 AMONITH ,1972,  83 m X 13 m ,  3460 t ,  LADS6 ,7235018,257955000
 AMORELLA ,1988,  171 m X 28 m ,  3690 t ,  OIWS ,8601915,230172000
 AMORENA ,1975,  50 m X 11 m ,  1064 t ,  VKV5938 ,7405962,503614000
 AMSTEL TRADER ,2003,  130 m X 18 m ,  8015 t ,  PBIH ,9264776,244372000
 AMSTERDAM ,1985,  0 m X 0 m ,  6726 t ,  3FDR7 ,8311053,352634000
 AMUR_2532 ,1989,  116 m X 13 m ,  3332 t ,  UAKP ,8729975,273324200
 AMUR-2520 ,1987,  116 m X 13 m ,  3254 t ,  UIQE ,8721466,273421710
 AMUR-2527 ,1988,  116 m X 14 m ,  3148 t ,  UBMX ,8721533,273312400
 AMUSEMENT WORLD ,1967,  140 m X 23 m ,  2591 t ,  T2JA2 ,6620773,572243000
 ANANGEL AMBITION ,1994,  280 m X 42 m ,  161526 t ,  SYAV ,9074119,239337000
 ANANGEL EXPLORER ,2007,  289 m X 42 m ,  173000 t ,  SZTF ,9295012,240586000
 ANANGEL VISION ,2007,  280 m X 45 m ,  172000 t ,  SXLT ,9332951,240585000
 ANASTASIA S ,2004,  190 m X 32 m ,  52808 t ,  V7GL5 ,9277656,538002123
 ANATOLIA SKY ,2005,  92 m X 16 m ,  3842 t ,  TCOK6 ,9301689,271000838
 ANDANTE ,2005,  115 m X 17 m ,  6419 t ,  ZDGU3 ,9341108,236111321
 ANDRE L ,2005,  85 m X 15 m ,  4700 t ,  FMFE ,9318632,228219600
 ANDROMEDA ,2007,  182 m X 27 m ,  37340 t ,  SYMH ,9315795,240597000
 ANDROMEDA J ,2006,  139 m X 22 m ,  10400 t ,  DFQX ,9355422,218015000
 ANETTE THERESA ,2006,  127 m X 20 m ,  12800 t ,  MMKY4 ,9321639,235011020
 ANGERMANLAND ,1989,  105 m X 16 m ,  4334 t ,  ZQVN7 ,8818752,235000970
 ANJASMORO ,1996,  179 m X 28 m ,  28840 t ,  S6CJ6 ,9117234,563850000
 ANKE ANGELA ,1984,  82 m X 11 m ,  1735 t ,  ZDEO3 ,8417546,236000780
 ANKE EHLER ,2000,  118 m X 18 m ,  6840 t ,  DFPP ,9208459,211325530
 ANKERGRACHT ,1991,  130 m X 19 m ,  12150 t ,  PCQL ,9014872,244852000
 ANKIE ,2006,  89 m X 11 m ,  3500 t ,  PHKA ,9331359,244554000
 ANNA G ,1994,  0 m X 0 m ,  5350 t ,  V2BD5 ,9061291,305601000
 ANNA JOHANNE ,1994,  84 m X 14 m ,  3294 t ,  OXOW2 ,9018115,219565000
 ANNA MARIE ,1996,  83 m X 13 m ,  3406 t ,  V2CV2 ,9126625,304374000
 ANNA RICKMERS ,1998,  186 m X 32 m ,  44572 t ,  A8AX3 ,9131204,636090588
 ANNA-MARIA SIBUM ,2005,  100 m X 12 m ,  4418 t ,  V2BB2 ,9158109,304778000
 ANNA-SIRKKA ,2006,  134 m X 22 m ,  11400 t ,  DDSW2 ,9354454,218031000
 ANNE ,1996,  85 m X 13 m ,  3526 t ,  V2IA8 ,9145126,304256000
 ANNERDIEP ,2003,  90 m X 15 m ,  4285 t ,  P3QA9 ,9256171,209357000
 ANN-SOFIE SCAN ,1999,  85 m X 12 m ,  3490 t ,  V2PO ,9195236,304010879
 ANTABE ,1997,  88 m X 13 m ,  3702 t ,  ZDFN3 ,9171072,236189000
 ANTARES ,1984,  79 m X 10 m ,  1576 t ,  PCSI ,8404496,246254000
 ANTIKERI ,1984,  186 m X 22 m ,  28791 t ,  9HWY7 ,8200503,215671000
 ANTONELLO ,1971,  70 m X 11 m ,  1694 t ,  IKVS ,7105691,247422000
 ANTWERPEN EXPRESS ,2000,  294 m X 32 m ,  67145 t ,  DGAF ,9193288,211311970
 ANWAAR AL NASER ,2005,  165 m X 28 m ,  35000 t ,  5AXD ,9313450,642122018
 APACHE 1 ,1985,  116 m X 18 m ,  6091 t ,  D6FL3 ,8306711,616871000
 APATURA ,2004,  168 m X 26 m ,  24064 t ,  ZDGL7 ,9258624,236260000
 APEX BULKER ,2003,  177 m X 28 m ,  32729 t ,  HPOA ,9270907,355170000
 APL BELGIUM ,2002,  277 m X 40 m ,  67500 t ,  9VKQ3 ,9218686,563776000
 APL CAIRO ,2001,  207 m X 29 m ,  34133 t ,  S6HU3 ,9234109,563266000
 APL DALIAN ,2002,  208 m X 30 m ,  34133 t ,  S6HU6 ,9234135,564763000
 APL ENGLAND ,2001,  278 m X 40 m ,  67987 t ,  9VDD2 ,9218650,563722000
 APL FLORIDA ,2008,  280 m X 40 m ,  66800 t ,  3ETR ,9350032,370645000
 APL LOS ANGELES ,2008,  267 m X 32 m ,  53550 t ,  V2DF4 ,9345958,305193000
 APL ORCHID ,1984,  161 m X 24 m ,  18437 t ,  S6EX ,8207898,564229000
 APL PUSAN ,2002,  207 m X 30 m ,  34133 t ,  S6HU5 ,9234123,564619000
 APL SINGAPORE ,1995,  277 m X 40 m ,  66520 t ,  WCX8812 ,9074547,368680000
 APL SWEDEN ,2002,  277 m X 40 m ,  68024 t ,  A8JX8 ,9231262,636091156
 APOLLO ,2003,  168 m X 26 m ,  23998 t ,  ZDFS2 ,9234628,236204000
 APOLLO    LYNX ,2002,  96 m X 14 m ,  4294 t ,  V2OX3 ,9282091,304448000
